Open Time;Order;Symbol;Type;Volume;;Price;S / L;T / P;Time;;State;Comment;
2026.01.21 08:43:20;678;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 08:43:20;;filled;;
2026.01.21 08:43:20;679;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 08:43:20;;filled;;
2026.01.22 22:46:00;680;GOLD;buy;0.01 / 0.01;;0.00;4 883.58;4 968.58;2026.01.22 22:46:00;;filled;Grip;
2026.01.22 23:14:15;681;GOLD;buy;0.01 / 0.01;;0.00;4 883.52;4 968.52;2026.01.22 23:14:15;;filled;Grip;
2026.01.23 01:27:00;682;GOLD;buy;0.01 / 0.01;;0.00;4 901.85;4 986.85;2026.01.23 01:27:00;;filled;Grip;
2026.01.23 01:30:57;683;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.23 01:30:57;;filled;;
2026.01.23 01:30:57;684;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.23 01:30:57;;filled;;
2026.01.23 01:30:57;685;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.23 01:30:57;;filled;;
2026.01.23 22:15:00;686;GOLD;buy;0.01 / 0.01;;0.00;4 941.65;5 026.65;2026.01.23 22:15:00;;filled;Grip;
2026.01.26 01:03:03;687;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.26 01:03:03;;filled;tp 5026.65;
2026.01.26 01:45:00;688;GOLD;buy;0.01 / 0.01;;0.00;4 985.21;5 070.21;2026.01.26 01:45:00;;filled;Grip;
2026.01.26 02:25:52;689;GOLD;buy;0.01 / 0.01;;0.00;4 998.06;5 083.06;2026.01.26 02:25:52;;filled;Grip;
2026.01.26 03:25:17;690;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.26 03:25:17;;filled;tp 5070.21;
2026.01.26 03:34:47;691;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.26 03:34:47;;filled;tp 5083.06;
